,Station_ID,Station_name,Lat,Lng,Summer_Pop_Start,Summer_Pop_End,Winter_Pop_Start,Winter_Pop_End
476,3474,6 Ave & Spring St,40.725255700000005,-74.00412083,0,3243,1112,1132
477,3461,Murray St & Greenwich St,40.71485151,-74.01122332,0,3005,1103,1143
478,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,0,386,864,849
479,3497,Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,0,41,506,490
480,385,E 55 St & 2 Ave,40.75797322,-73.96603308,0,0,1535,1528
481,3404,7 St & 5 Ave,40.670492200000005,-73.98541675,0,244,314,318
482,3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611,0,293,270,258
483,3315,Henry St & Degraw St,40.684751399999996,-73.99917254,0,793,838,868
484,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,0,130,1039,1049
485,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,945,457,318,384
486,365,Fulton St & Grand Ave,40.68223166,-73.9614583,1227,584,458,415
487,3503,Madison Ave & E 120 St,40.80295,-73.942954,0,26,77,95
488,3365,3 St & 7 Ave,40.67038370000001,-73.97839676,0,246,519,482
489,3319,14 St & 5 Ave,40.666287,-73.98895053,0,215,363,362
490,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,0,1491,681,684
491,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,0,174,204,196
492,526,E 33 St & 5 Ave,40.74765947,-73.98490707,0,351,2119,2106
493,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,0,0,729,738
494,119,Park Ave & St Edwards St,40.69608941,-73.97803415,305,286,239,269
495,3352,Sigourney St & Columbia St,40.67267243,-74.00879525,0,73,94,105
496,3398,Smith St & 9 St,40.67469570000001,-73.99785768,0,175,536,505
497,3067,Broadway & Whipple St,40.7016657,-73.9437303,0,195,305,321
498,3455,Schermerhorn St & 3 Ave,40.68680821,-73.98036182,0,128,319,353
499,456,E 53 St & Madison Ave,40.75971079999999,-73.97402311,6926,3715,1487,1498
500,310,State St & Smith St,40.68926942,-73.98912867,1948,996,811,823
501,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,0,1591,855,850
502,3591,21 St & 31 Dr,40.7659,-73.930819,0,73,171,188
503,530,11 Ave & W 59 St,40.771522,-73.99054100000001,0,2688,1808,1825
504,261,Johnson St & Gold St,40.69474881,-73.98362464,1697,951,525,558
505,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,0,197,208,205
506,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,2364,1614,438,529
507,3244,University Pl & E 8 St,40.73143724,-73.99490342,0,2406,1864,1830
508,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,0,292,642,634
509,3583,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,0,278,201,182
510,3401,2 Ave & 9 St,40.6724811,-73.99331394,0,82,191,201
511,363,West Thames St,40.70834698,-74.01713445,4663,3359,1194,1211
512,3316,W 104 St & Amsterdam Ave - 1,40.798993700000004,-73.96621738,0,137,412,344
513,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,1000,589,228,161
514,3324,3 Ave & 14 St,40.6685455,-73.99333264,0,151,223,278
515,3561,37 Ave & 35 St,40.7531106,-73.9279917,0,26,139,138
516,3388,President St & Henry St,40.6828003,-73.99990419,0,429,327,316
517,3542,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,0,55,404,329
518,3549,Grand Ave & Bergen St,40.678045000000004,-73.962408,0,351,338,335
519,3434,W 88 St & West End Ave,40.79025417,-73.9771834,0,86,554,547
520,422,W 59 St & 10 Ave,40.770513,-73.988038,3301,1531,1107,1057
