,Station_ID,Station_name,Lat,Lng,Start,End,Distance,Season
249,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,1338,1413,10.434242650722487,Winter
250,513,W 56 St & 10 Ave,40.768254,-73.988639,3100,1919,14.764553763440892,Summer
251,513,W 56 St & 10 Ave,40.768254,-73.988639,1370,1349,11.001240875912396,Winter
252,168,W 18 St & 6 Ave,40.73971301,-73.99456405,7701,6051,12.284054299818191,Summer
253,168,W 18 St & 6 Ave,40.73971301,-73.99456405,3287,3390,10.163887198214645,Winter
254,282,Kent Ave & S 11 St,40.70764494,-73.96841526,2034,709,17.36821094135046,Summer
255,282,Kent Ave & S 11 St,40.70764494,-73.96841526,564,587,12.441252955082742,Winter
256,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,9345,2917,30.96086110218227,Summer
257,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,2423,2375,15.68264491257054,Winter
258,3086,Graham Ave & Conselyea St,40.715143,-73.944507,0,310,NaN,Summer
259,3086,Graham Ave & Conselyea St,40.715143,-73.944507,856,857,7.892943469785572,Winter
260,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,869,296,13.015492686682066,Summer
261,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,401,303,9.324605153782207,Winter
262,394,E 9 St & Avenue C,40.72521311,-73.97768752,4365,3124,13.5507148318043,Summer
263,394,E 9 St & Avenue C,40.72521311,-73.97768752,1689,1698,12.002794233807265,Winter
264,379,W 31 St & 7 Ave,40.749156,-73.9916,8251,5290,12.925144461955027,Summer
265,379,W 31 St & 7 Ave,40.749156,-73.9916,3652,3721,10.303431909455997,Winter
266,251,Mott St & Prince St,40.72317958,-73.99480012,6264,4539,13.912015441959548,Summer
267,251,Mott St & Prince St,40.72317958,-73.99480012,1751,1781,10.506866666666673,Winter
268,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,8863,6359,16.093026231605844,Summer
269,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,4057,4441,11.62267159884917,Winter
270,471,Grand St & Havemeyer St,40.71286844,-73.95698119,2046,550,13.911086637298093,Summer
271,471,Grand St & Havemeyer St,40.71286844,-73.95698119,528,469,10.70258838383838,Winter
272,3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,0,56,NaN,Summer
273,3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,499,515,10.915631262525045,Winter
274,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,0,348,NaN,Summer
275,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,442,453,9.13609221466364,Winter
276,330,Reade St & Broadway,40.71450451,-74.00562789,2798,2044,13.794770073862278,Summer
277,330,Reade St & Broadway,40.71450451,-74.00562789,1004,1004,10.752639442231091,Winter
278,520,W 52 St & 5 Ave,40.75992262,-73.97648516,0,486,NaN,Summer
279,520,W 52 St & 5 Ave,40.75992262,-73.97648516,1503,1503,11.415901530272794,Winter
280,362,Broadway & W 37 St,40.75172632,-73.98753523,2997,1790,13.669398998330577,Summer
281,362,Broadway & W 37 St,40.75172632,-73.98753523,1136,1079,11.384756455399073,Winter
282,3088,Union Ave & Jackson St,40.7160751,-73.95202900000001,0,224,NaN,Summer
283,3088,Union Ave & Jackson St,40.7160751,-73.95202900000001,239,238,10.784658298465834,Winter
284,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,0,104,NaN,Summer
285,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,999,972,8.470574482297915,Winter
286,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,0,116,NaN,Summer
287,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,299,298,15.209754738015619,Winter
288,3361,Carroll St & 6 Ave,40.6740886,-73.9787282,0,304,NaN,Summer
289,3361,Carroll St & 6 Ave,40.6740886,-73.9787282,598,600,10.31348408710217,Winter
